,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
0,Palm Jumeirah,2700000,1079,2502.32,1,2,False,True,True,False,False,False,False,False
1,Palm Jumeirah,2850000,1582,1801.52,2,2,False,False,False,False,False,False,False,True
2,Jumeirah Lake Towers,1150000,1951,589.44,3,5,True,False,False,False,False,True,False,True
3,Culture Village,2850000,2020,1410.89,2,3,False,True,True,False,False,False,False,False
4,Palm Jumeirah,1729200,507,3410.65,0,1,False,False,False,False,False,False,False,True
5,Palm Jumeirah,3119900,1015,3073.79,1,2,False,False,False,False,False,False,False,True
6,Palm Jumeirah,8503600,2062,4123.96,2,3,True,False,False,False,False,False,False,True
7,Palm Jumeirah,3119900,1015,3073.79,1,2,False,False,False,False,False,False,False,True
8,Palm Jumeirah,2100000,2186,960.66,3,3,False,False,False,False,False,False,False,False
9,Downtown Dubai,2690000,1521,1768.57,2,3,False,False,False,False,False,False,False,True
10,Downtown Dubai,3550000,1918,1850.89,3,4,False,False,False,False,False,False,False,True
11,Dubai Marina,2094999,1058,1980.15,2,3,False,False,False,False,False,False,False,True
12,Dubai Marina,1049999,609,1724.14,1,2,False,False,False,False,False,False,False,True
13,Palm Jumeirah,1849000,1071,1726.42,1,1,False,True,False,False,False,False,False,True
14,Palm Jumeirah,2089999,1051,1988.58,1,1,False,True,False,False,False,False,False,True
15,Palm Jumeirah,2349990,1109,2119.02,1,1,False,True,False,False,False,False,False,True
16,Palm Jumeirah,3499000,1633,2142.68,2,2,False,True,False,False,False,False,False,True
17,Downtown Dubai,2700000,1348,2002.97,2,3,False,False,False,False,False,False,False,False
18,Downtown Dubai,1490000,1167,1276.78,2,2,False,False,False,False,False,False,False,True
19,Business Bay,950000,894,1062.64,1,2,False,False,False,False,False,False,True,True
20,Dubai Marina,1100000,985,1116.75,2,2,False,False,True,False,False,False,False,True
21,Dubai Marina,1390000,1307,1063.5,2,4,False,False,False,False,False,False,False,False
22,Downtown Dubai,3999900,2323,1721.87,3,4,True,True,False,False,False,True,False,True
23,Dubai Marina,3349000,3930,852.16,3,4,False,False,False,False,False,False,False,False
